RANK,Player,Team,RAA,Wins,EFscore,Salary,Value
1,DA Warner,Sunrisers Hyderabad,410,1.414,0.224,"$1,953,130 ","$2,742,721 "
2,AD Russell,Kolkata Knight Riders,307,1.06,0.242,"$1,328,130 ","$2,200,717 "
3,MS Dhoni,Chennai Super Kings,305,1.053,0.176,"$2,343,750 ","$2,190,000 "
4,Imran Tahir,Chennai Super Kings,295,1.018,0.2,"$156,250 ","$2,136,412 "
5,KL Rahul,Kings XI Punjab,288,0.994,0.217,"$1,718,750 ","$2,099,665 "
6,K Rabada,Delhi Capitals,268,0.925,0.196,"$656,250 ","$1,994,021 "
7,KK Ahmed,Sunrisers Hyderabad,253,0.873,0.166,"$468,750 ","$1,914,404 "
8,JM Bairstow,Sunrisers Hyderabad,223,0.77,0.132,"$314,300 ","$1,756,702 "
9,AB de Villiers,Royal Challengers Bangalore,192,0.664,0.139,"$1,718,750 ","$1,594,407 "
10,HH Pandya,Mumbai Indians,165,0.568,0.204,"$1,718,750 ","$1,447,423 "
11,S Gopal,Rajasthan Royals,161,0.555,0.166,"$31,250 ","$1,427,519 "
12,CH Gayle,Kings XI Punjab,157,0.542,0.133,"$312,500 ","$1,407,615 "
13,Q de Kock,Mumbai Indians,141,0.486,0.117,"$437,500 ","$1,321,874 "
14,RR Pant,Delhi Capitals,127,0.44,0.114,"$2,343,750 ","$1,251,444 "
15,JJ Bumrah,Mumbai Indians,127,0.438,0.139,"$1,093,750 ","$1,248,382 "
16,RA Jadeja,Chennai Super Kings,126,0.433,0.143,"$1,093,750 ","$1,240,727 "
17,MK Pandey,Sunrisers Hyderabad,122,0.421,0.112,"$1,718,750 ","$1,222,354 "
18,SV Samson,Rajasthan Royals,120,0.415,0.086,"$1,250,000 ","$1,213,167 "
19,JC Buttler,Rajasthan Royals,117,0.403,0.094,"$687,500 ","$1,194,794 "
20,F du Plessis,Chennai Super Kings,114,0.392,0.101,"$250,000 ","$1,177,952 "
21,Harbhajan Singh,Chennai Super Kings,112,0.386,0.129,"$312,500 ","$1,168,766 "
22,S Dhawan,Delhi Capitals,105,0.362,0.119,"$812,500 ","$1,132,020 "
23,DL Chahar,Chennai Super Kings,98,0.337,0.162,"$125,000 ","$1,093,743 "
24,AS Joseph,Mumbai Indians,97,0.336,0.063,NA,"$1,092,212 "
25,SPD Smith,Rajasthan Royals,97,0.335,0.08,"$1,953,130 ","$1,090,680 "
26,SA Yadav,Mumbai Indians,91,0.315,0.111,"$500,000 ","$1,060,059 "
27,YS Chahal,Royal Challengers Bangalore,76,0.261,0.134,"$937,500 ","$977,380 "
28,V Kohli,Royal Challengers Bangalore,76,0.261,0.094,"$2,656,250 ","$977,380 "
29,N Rana,Kolkata Knight Riders,75,0.258,0.112,"$531,250 ","$972,787 "
30,Shubman Gill,Kolkata Knight Riders,74,0.256,0.08,"$281,250 ","$969,725 "
31,Mohammed Shami,Kings XI Punjab,69,0.238,0.131,"$685,700 ","$942,165 "
32,SN Khan,Kings XI Punjab,63,0.218,0.055,"$35,700 ","$911,544 "
33,O Thomas,Rajasthan Royals,63,0.216,0.038,"$157,100 ","$908,481 "
34,AM Rahane,Rajasthan Royals,60,0.208,0.103,"$625,000 ","$896,233 "
35,JC Archer,Rajasthan Royals,59,0.205,0.104,"$1,125,000 ","$891,639 "
36,KD Karthik,Kolkata Knight Riders,59,0.203,0.075,"$1,156,250 ","$888,577 "
37,KA Pollard,Mumbai Indians,57,0.197,0.076,"$843,750 ","$879,391 "
38,MM Ali,Royal Challengers Bangalore,52,0.179,0.104,"$265,630 ","$851,831 "
39,SS Iyer,Delhi Capitals,47,0.162,0.102,"$1,093,750 ","$825,803 "
40,CA Lynn,Kolkata Knight Riders,44,0.153,0.095,"$1,500,000 ","$812,023 "
41,DW Steyn,Royal Challengers Bangalore,42,0.145,0.031,"$345,000 ","$799,774 "
42,J Suchith,Delhi Capitals,33,0.115,0.021,"$16,667 ","$753,842 "
43,RV Uthappa,Kolkata Knight Riders,32,0.112,0.072,"$1,000,000 ","$749,249 "
44,MJ Santner,Chennai Super Kings,32,0.111,0.044,"$78,130 ","$747,717 "
45,I Sharma,Delhi Capitals,30,0.102,0.086,"$157,100 ","$733,938 "
46,Mandeep Singh,Kings XI Punjab,28,0.097,0.041,"$218,750 ","$726,282 "
47,IS Sodhi,Rajasthan Royals,23,0.08,0.028,"$69,573 ","$700,254 "
48,MA Agarwal,Kings XI Punjab,22,0.076,0.066,"$156,250 ","$694,129 "
49,SL Malinga,Mumbai Indians,22,0.075,0.104,"$285,700 ","$692,598 "
50,AS Roy,Mumbai Indians,20,0.068,0.004,"$31,250 ","$681,881 "
51,MP Stoinis,Royal Challengers Bangalore,19,0.064,0.075,"$968,750 ","$675,756 "
52,RG Sharma,Mumbai Indians,17,0.058,0.097,"$2,343,750 ","$666,570 "
53,Gurkeerat Singh,Royal Challengers Bangalore,15,0.051,0.019,"$71,400 ","$655,852 "
54,RD Chahar,Mumbai Indians,14,0.049,0.106,"$296,880 ","$652,790 "
55,R Tewatia,Delhi Capitals,13,0.044,0.024,"$468,750 ","$645,135 "
56,M Vijay,Chennai Super Kings,9,0.029,0.016,"$312,500 ","$622,168 "
57,VR Aaron,Rajasthan Royals,5,0.017,0.028,"$342,900 ","$603,795 "
58,Mohammad Nabi,Sunrisers Hyderabad,4,0.014,0.077,"$156,250 ","$599,202 "
59,A Mishra,Delhi Capitals,4,0.012,0.073,"$625,000 ","$596,140 "
60,N Pooran,Kings XI Punjab,2,0.006,0.046,"$600,000 ","$586,954 "
61,MM Sharma,Chennai Super Kings,1,0.003,0.006,"$714,300 ","$582,360 "
62,Sandeep Sharma,Sunrisers Hyderabad,-4,-0.015,0.083,"$468,750 ","$554,801 "
63,Rashid Khan,Sunrisers Hyderabad,-4,-0.015,0.114,"$1,406,250 ","$554,801 "
64,KV Sharma,Chennai Super Kings,-5,-0.018,0.004,"$478,000 ","$550,207 "
65,MJ Guptill,Sunrisers Hyderabad,-7,-0.025,0.016,"$142,900 ","$539,490 "
66,CV Varun,Kings XI Punjab,-7,-0.025,0.007,"$1,200,000 ","$539,490 "
67,DA Miller,Kings XI Punjab,-9,-0.031,0.046,"$468,750 ","$530,303 "
68,Ishan Kishan,Mumbai Indians,-10,-0.034,0.033,"$968,750 ","$525,710 "
69,P Simran Singh,Kings XI Punjab,-12,-0.04,0.005,"$685,700 ","$516,524 "
70,SD Lad,Mumbai Indians,-13,-0.044,0.002,"$31,250 ","$510,399 "
71,Yuvraj Singh,Mumbai Indians,-13,-0.045,0.022,"$142,900 ","$508,868 "
72,SC Kuggeleijn,Chennai Super Kings,-14,-0.047,0.017,NA,"$505,806 "
73,PA Patel,Royal Challengers Bangalore,-15,-0.053,0.087,"$265,630 ","$496,619 "
74,S Lamichhane,Delhi Capitals,-16,-0.055,0.051,"$31,250 ","$493,557 "
75,R Parag,Rajasthan Royals,-16,-0.057,0.059,"$28,600 ","$490,495 "
76,Washington Sundar,Royal Challengers Bangalore,-18,-0.061,0.023,"$500,000 ","$484,371 "
77,K Khejroliya,Royal Challengers Bangalore,-18,-0.063,0.007,"$15,000 ","$481,309 "
78,RK Singh,Kolkata Knight Riders,-18,-0.064,0.007,"$125,000 ","$479,778 "
79,MK Lomror,Rajasthan Royals,-20,-0.068,0.001,"$31,250 ","$473,653 "
80,SO Hetmyer,Royal Challengers Bangalore,-21,-0.072,0.019,"$600,000 ","$467,529 "
81,Arshdeep Singh,Kings XI Punjab,-21,-0.072,0.022,"$28,600 ","$467,529 "
82,NS Naik,Kolkata Knight Riders,-21,-0.072,0.002,"$28,600 ","$467,529 "
83,RK Bhui,Sunrisers Hyderabad,-21,-0.072,0.002,"$31,250 ","$467,529 "
84,J Yadav,Mumbai Indians,-21,-0.073,0.008,"$78,130 ","$465,998 "
85,DR Shorey,Chennai Super Kings,-23,-0.078,0.001,"$31,250 ","$458,342 "
86,KK Nair,Kings XI Punjab,-23,-0.078,0,"$875,000 ","$458,342 "
87,JP Behrendorff,Mumbai Indians,-23,-0.081,0.039,"$234,380 ","$453,749 "
88,KC Cariappa,Kolkata Knight Riders,-24,-0.083,0.002,"$120,000 ","$450,687 "
89,Avesh Khan,Delhi Capitals,-25,-0.086,0.003,"$109,380 ","$446,094 "
90,LS Livingstone,Rajasthan Royals,-25,-0.087,0.014,"$71,400 ","$444,563 "
91,RA Tripathi,Rajasthan Royals,-25,-0.088,0.03,"$531,250 ","$443,032 "
92,S Midhun,Rajasthan Royals,-26,-0.09,0.001,"$31,250 ","$439,969 "
93,Y Prithvi Raj,Kolkata Knight Riders,-26,-0.091,0.009,"$28,600 ","$438,438 "
94,C Munro,Delhi Capitals,-27,-0.093,0.025,"$296,880 ","$435,376 "
95,SW Billings,Chennai Super Kings,-28,-0.096,0,"$156,250 ","$430,783 "
96,JL Denly,Kolkata Knight Riders,-28,-0.096,0,"$142,900 ","$430,783 "
97,Harpreet Brar,Kings XI Punjab,-28,-0.097,0.007,"$28,600 ","$429,252 "
98,S Sandeep Warrier,Kolkata Knight Riders,-29,-0.098,0.021,"$16,000 ","$427,721 "
99,STR Binny,Rajasthan Royals,-30,-0.105,0.022,"$78,130 ","$417,003 "
100,Rasikh Salam,Mumbai Indians,-34,-0.117,0.003,"$28,600 ","$398,630 "
101,S Nadeem,Sunrisers Hyderabad,-35,-0.119,0.01,"$500,000 ","$395,568 "
102,E Lewis,Mumbai Indians,-35,-0.121,0.017,"$593,750 ","$392,506 "
103,HF Gurney,Kolkata Knight Riders,-36,-0.124,0.047,"$107,100 ","$387,912 "
104,BCJ Cutting,Mumbai Indians,-37,-0.127,0.006,"$343,750 ","$383,319 "
105,TA Boult,Delhi Capitals,-38,-0.131,0.032,"$343,750 ","$377,195 "
106,KS Williamson,Sunrisers Hyderabad,-38,-0.132,0.031,"$468,750 ","$375,664 "
107,Abhishek Sharma,Sunrisers Hyderabad,-39,-0.134,0.006,"$85,940 ","$372,602 "
108,SK Raina,Chennai Super Kings,-39,-0.135,0.069,"$1,718,750 ","$371,071 "
109,HV Patel,Delhi Capitals,-41,-0.142,0.015,"$31,250 ","$360,353 "
110,CH Morris,Delhi Capitals,-44,-0.152,0.094,"$1,718,750 ","$345,042 "
111,SR Watson,Chennai Super Kings,-46,-0.158,0.087,"$625,000 ","$335,856 "
112,H Klaasen,Royal Challengers Bangalore,-46,-0.16,0.001,"$71,400 ","$332,793 "
113,BB Sran,Mumbai Indians,-47,-0.162,0.002,"$485,700 ","$329,731 "
114,S Dube,Royal Challengers Bangalore,-50,-0.173,0.008,"$714,300 ","$312,889 "
115,AT Rayudu,Chennai Super Kings,-51,-0.175,0.065,"$343,750 ","$309,827 "
116,YK Pathan,Sunrisers Hyderabad,-51,-0.177,0.011,"$296,880 ","$306,765 "
117,M Markande,Mumbai Indians,-52,-0.179,0.007,"$31,250 ","$303,703 "
118,SM Curran,Kings XI Punjab,-53,-0.182,0.09,"$1,028,600 ","$299,110 "
119,WP Saha,Sunrisers Hyderabad,-53,-0.182,0.013,"$171,400 ","$299,110 "
120,Shakib Al Hasan,Sunrisers Hyderabad,-57,-0.198,0.014,"$312,500 ","$274,612 "
121,BA Stokes,Rajasthan Royals,-58,-0.2,0.067,"$1,953,130 ","$271,550 "
122,KMA Paul,Delhi Capitals,-59,-0.205,0.06,"$71,400 ","$263,895 "
123,GH Vihari,Delhi Capitals,-60,-0.209,0,"$285,700 ","$257,770 "
124,PP Shaw,Delhi Capitals,-63,-0.217,0.063,"$187,500 ","$245,522 "
125,AS Rajpoot,Kings XI Punjab,-63,-0.217,0.022,"$468,750 ","$245,522 "
126,SN Thakur,Chennai Super Kings,-63,-0.217,0.062,"$406,250 ","$245,522 "
127,DJ Bravo,Chennai Super Kings,-64,-0.219,0.087,"$1,000,000 ","$242,459 "
128,C de Grandhomme,Royal Challengers Bangalore,-63,-0.219,0.013,"$343,750 ","$242,459 "
129,P Ray Barman,Royal Challengers Bangalore,-65,-0.223,0.005,"$214,300 ","$236,335 "
130,CA Ingram,Delhi Capitals,-66,-0.226,0.034,"$914,300 ","$231,742 "
131,DJ Hooda,Sunrisers Hyderabad,-67,-0.231,0.021,"$562,500 ","$224,086 "
132,GC Viljoen,Kings XI Punjab,-68,-0.236,0.04,"$107,100 ","$216,431 "
133,R Ashwin,Kings XI Punjab,-69,-0.237,0.083,"$1,187,500 ","$214,900 "
134,CR Brathwaite,Kolkata Knight Riders,-70,-0.243,0.003,"$714,300 ","$205,713 "
135,TG Southee,Royal Challengers Bangalore,-73,-0.253,0.012,"$156,250 ","$190,402 "
136,AD Nath,Royal Challengers Bangalore,-78,-0.268,0.011,"$514,300 ","$167,436 "
137,AJ Turner,Rajasthan Royals,-80,-0.277,0.001,"$71,400 ","$153,656 "
138,Mohammed Siraj,Royal Challengers Bangalore,-85,-0.292,0.054,"$406,250 ","$130,690 "
139,KM Jadhav,Chennai Super Kings,-88,-0.302,0.038,"$1,218,750 ","$115,379 "
140,SE Rutherford,Delhi Capitals,-92,-0.317,0.022,"$285,700 ","$92,413 "
141,S Kaul,Sunrisers Hyderabad,-96,-0.332,0.042,"$593,750 ","$69,447 "
142,MJ McClenaghan,Mumbai Indians,-97,-0.336,0.027,"$50,000 ","$63,322 "
143,V Shankar,Sunrisers Hyderabad,-99,-0.343,0.056,"$500,000 ","$52,605 "
144,NA Saini,Royal Challengers Bangalore,-102,-0.351,0.08,"$468,750 ","$40,356 "
145,Basil Thampi,Sunrisers Hyderabad,-108,-0.373,0.005,"$148,440 ","$6,672 "
146,AR Patel,Delhi Capitals,-114,-0.395,0.092,"$714,300 ","($27,012)"
147,SP Narine,Kolkata Knight Riders,-115,-0.396,0.098,"$1,953,130 ","($28,543)"
148,P Negi,Royal Challengers Bangalore,-118,-0.406,0.019,"$156,250 ","($43,854)"
149,KH Pandya,Mumbai Indians,-118,-0.408,0.116,"$1,375,000 ","($46,916)"
150,Mujeeb Ur Rahman,Kings XI Punjab,-120,-0.412,0.024,"$625,000 ","($53,040)"
151,LH Ferguson,Kolkata Knight Riders,-123,-0.423,0.015,"$228,600 ","($69,882)"
152,M Ashwin,Kings XI Punjab,-133,-0.459,0.035,"$28,600 ","($125,001)"
153,PP Chawla,Kolkata Knight Riders,-135,-0.466,0.068,"$656,250 ","($135,719)"
154,JD Unadkat,Rajasthan Royals,-135,-0.467,0.057,"$1,200,000 ","($137,250)"
155,UT Yadav,Royal Challengers Bangalore,-141,-0.486,0.06,"$656,250 ","($166,340)"
156,AJ Tye,Kings XI Punjab,-145,-0.5,0.022,"$1,125,000 ","($187,776)"
157,DS Kulkarni,Rajasthan Royals,-155,-0.534,0.044,"$117,190 ","($239,832)"
158,B Kumar,Sunrisers Hyderabad,-158,-0.544,0.095,"$1,328,130 ","($255,143)"
159,Kuldeep Yadav,Kolkata Knight Riders,-159,-0.549,0.023,"$906,250 ","($262,799)"
160,K Gowtham,Rajasthan Royals,-201,-0.695,0.016,"$968,750 ","($486,337)"
161,M Prasidh Krishna,Kolkata Knight Riders,-276,-0.952,0.04,"$15,620 ","($879,826)"
